keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew
'Regen',de,Herbst,#ff9933,#331a00,3,0.3577269342355013
'Hitze',de,Sommer,#ff8c66,#330d00,3,0.3121217847109995
'Sonne',de,Frühling,#00e600,#003311,3,0.2471120297904654
'Schnee',de,Winter,#9999ff,#00004d,3,0.2351143286744483
'Freibad',de,Sommer,#e63900,#330d00,3,0.2348467912061775
'Igel',de,Herbst,#e67300,#331a00,3,0.2272374768670306
'Natur',de,Frühling,#66ff99,#003311,3,0.2189508641909535
'Vögel',de,Frühling,#b3ffcc,#003311,3,0.2134298730462286
'Temperaturen',de,Sommer,#ffd9cc,#330d00,3,0.2100796125629982
'Tropische Nächte',de,Sommer,#ff6633,#330d00,2,0.204245549710937
'Frühlingsgefühle',de,Frühling,#009933,#003311,1,0.1996648140874314
'Rekordwerte',de,Sommer,#ffff1a,#330d00,3,0.1905879085887228
'Laub',de,Herbst,#804000,#331a00,3,0.1489119063782835
'Energiekrise',de,Winter,#e6e6ff,#00004d,3,0.1265576347931789
'Schlitten',de,Winter,#3333ff,#00004d,1,0.1201588232724582
'Jahreswechsel',de,Herbst,#ffbf80,#00004d,3,0.1040877976536445
'Blätter',de,Herbst,#ffd9b3,#331a00,3,0.1011791644803225
'Glatteis',de,Winter,#4d94ff,#00004d,1,0.062153598034975
'Tulpe',de,Frühling,#00ff55,#003311,1,0.011018295449148119
'Wärmebus',de,Winter,#6666ff,#00004d,1,0.0013642302386864
