index,url,valid,domain,title,description,image,published,archive,content,quote,language,keyword
https://www.zeit.de/news/2025-07/01/schlaflos-und-erschoepft-hitze-setzt-kindern-zu,https://www.zeit.de/news/2025-07/01/schlaflos-und-erschoepft-hitze-setzt-kindern-zu,0,www.zeit.de,Kinder und Hitze: Schlaflos und erschöpft – Hitze setzt Kindern zu,Hier finden Sie Informationen zu dem Thema „Kinder und Hitze“. Lesen Sie jetzt „Schlaflos und erschöpft – Hitze setzt Kindern zu“.,https://img.zeit.de/news/2025-07/01/schlaflos-und-erschoepft-hitze-setzt-kindern-zu-image-group/wide__1300x731,2025-07-01T02:00:49Z,,"Bei Hitzewellen wie in diesen Tagen leiden drei von vier Kindern und Jugendlichen in Baden-Württemberg deutlich, sie schlafen schlecht, haben Kopfschmerzen und sind müde. Nach dem neuen DAK Kinder- u… [+1564 chars]",,de,'Hitze'
https://www.zeit.de/news/2025-07/01/statistiker-hitze-fordert-jaehrlich-rund-22-tote,https://www.zeit.de/news/2025-07/01/statistiker-hitze-fordert-jaehrlich-rund-22-tote,0,www.zeit.de,Gesundheit bei Hitze: Statistiker: Hitze fordert jährlich rund 22 Tote,Hier finden Sie Informationen zu dem Thema „Gesundheit bei Hitze“. Lesen Sie jetzt „Statistiker: Hitze fordert jährlich rund 22 Tote“.,https://img.zeit.de/news/2025-07/01/statistiker-hitze-fordert-jaehrlich-rund-22-tote-image-group/wide__1300x731,2025-07-01T07:37:52Z,,Rund 1.400 Mal pro Jahr sind in den vergangenen Jahren Menschen wegen gesundheitlicher Schäden durch Sonnenlicht oder Hitze in Krankenhäusern behandelt worden. Bei den Behandlungszahlen handelt es si… [+1800 chars],,de,'Hitze'
https://www.zeit.de/news/2025-07/01/arbeitsschutz-bei-hitze-ministerium-gibt-tipps,https://www.zeit.de/news/2025-07/01/arbeitsschutz-bei-hitze-ministerium-gibt-tipps,0,www.zeit.de,Arbeitsschutz: Arbeitsschutz bei Hitze - Ministerium gibt Tipps,Hier finden Sie Informationen zu dem Thema „Arbeitsschutz“. Lesen Sie jetzt „Arbeitsschutz bei Hitze - Ministerium gibt Tipps“.,https://img.zeit.de/news/2025-07/01/arbeitsschutz-bei-hitze-ministerium-gibt-tipps-image-group/wide__1300x731,2025-07-01T08:28:59Z,,"Die anhaltenden Hitze hat auch einen gefährlichen Einfluss auf Arbeiten, die im Freien erledigt werden. Ist es zu heiß, lassen Konzentration und Leistungsfähigkeit nach, Kopfschmerzen und Übelkeit kö… [+1485 chars]",,de,'Hitze'
https://www.zeit.de/news/2025-07/01/wetterdienst-verlaengert-landesweite-hitze-warnung,https://www.zeit.de/news/2025-07/01/wetterdienst-verlaengert-landesweite-hitze-warnung,0,www.zeit.de,Wetter: Wetterdienst verlängert landesweite Hitze-Warnung,Hier finden Sie Informationen zu dem Thema „Wetter“. Lesen Sie jetzt „Wetterdienst verlängert landesweite Hitze-Warnung“.,https://img.zeit.de/news/2025-07/01/wetterdienst-verlaengert-landesweite-hitze-warnung-image-group/wide__1300x731,2025-07-01T08:54:00Z,,Wegen der weiter steigenden Temperaturen und der mangelnden Abkühlung in Baden-Württemberg verlängert der Deutsche Wetterdienst (DWD) seine landesweite Warnung vor «extremer Hitze». Bis zum Mittwocha… [+758 chars],,de,'Hitze'
https://www.zeit.de/news/2025-07/01/dwd-warnt-auch-fuer-den-norden-vor-extremer-hitze,https://www.zeit.de/news/2025-07/01/dwd-warnt-auch-fuer-den-norden-vor-extremer-hitze,0,www.zeit.de,Hitze bis 37 Grad Celsius: DWD warnt auch für den Norden vor extremer Hitze,Hier finden Sie Informationen zu dem Thema „Hitze bis 37 Grad Celsius“. Lesen Sie jetzt „DWD warnt auch für den Norden vor extremer Hitze“.,https://img.zeit.de/news/2025-07/01/dwd-warnt-auch-fuer-den-norden-vor-extremer-hitze-image-group/wide__1300x731,2025-07-01T10:33:40Z,,"Der Deutsche Wetterdienst hat für Hamburg und den Süden Schleswig-Holsteins eine amtliche Warnung vor extremer Hitze herausgeben. Am Mittwoch, zwischen 11.00 und 19.00 Uhr, werde eine extreme Hitzebe… [+1022 chars]",,de,'Hitze'
https://www.zeit.de/news/2025-07/01/hitze-sorgt-bei-bahnreisenden-fuer-probleme,https://www.zeit.de/news/2025-07/01/hitze-sorgt-bei-bahnreisenden-fuer-probleme,0,www.zeit.de,Wetter: Hitze sorgt bei Bahnreisenden für Probleme,Hier finden Sie Informationen zu dem Thema „Wetter“. Lesen Sie jetzt „Hitze sorgt bei Bahnreisenden für Probleme“.,https://img.zeit.de/news/2025-07/01/hitze-sorgt-bei-bahnreisenden-fuer-probleme-image-group/wide__1300x731,2025-07-01T17:14:57Z,,"Im Regionalverkehr müssen sich Reisende auch am kommenden heißen Tag auf Zugausfälle und Verspätungen einstellen. Aufgrund hoher Temperaturen gebe es auf zahlreichen Linien Beeinträchtigungen, teilte… [+424 chars]",,de,'Hitze'
https://www.zeit.de/news/2025-07/02/berliner-kirchen-oeffnen-tueren-wegen-hitze,https://www.zeit.de/news/2025-07/02/berliner-kirchen-oeffnen-tueren-wegen-hitze,0,www.zeit.de,Gefahr durch Hitze: Berliner Kirchen öffnen Türen wegen Hitze,Hier finden Sie Informationen zu dem Thema „Gefahr durch Hitze“. Lesen Sie jetzt „Berliner Kirchen öffnen Türen wegen Hitze“.,https://img.zeit.de/news/2025-07/02/berliner-kirchen-oeffnen-tueren-wegen-hitze-image-group/wide__1300x731,2025-07-02T05:18:10Z,,"Mehrere Berliner Kirchen öffnen in diesen Tagen ihre Türen, um in der Hitze einen kühlen Schutzraum zu bieten. Das Angebot richte sich insbesondere an wohnungslose und an andere bedürftige Menschen, … [+861 chars]",,de,'Hitze'
https://www.zeit.de/wissen/2025-07/hitze-europa-hoechsttemperaturen-vergleich-daten,https://www.zeit.de/wissen/2025-07/hitze-europa-hoechsttemperaturen-vergleich-daten,0,www.zeit.de,Hitze in Europa: Hier ist die Hitze am extremsten,"Selten war es in ganz Europa so früh so heiß. Für Millionen Menschen wird das zu einer wiederkehrenden Gefahr. Daten zeigen, welche Regionen besonders betroffen sind.",https://img.zeit.de/wissen/2025-07/hitze-europa-hoechsttemperaturen-vergleich-daten-teaserbild/wide__1300x731,2025-07-02T06:15:24Z,,"Die Hitze erreicht Europa: In Spanien und Portugal herrschen Höchsttemperaturen. In Frankreich und der Türkei brennen Wälder, auch in Deutschland wird es gefährlich heiß.
Im portugiesischen Mora sti… [+448 chars]",,de,'Hitze'
https://www.zeit.de/news/2025-07/02/wen-die-hitze-in-die-notaufnahme-bringt,https://www.zeit.de/news/2025-07/02/wen-die-hitze-in-die-notaufnahme-bringt,0,www.zeit.de,Hitze: Wen die Hitze in die Notaufnahme bringt,Hier finden Sie Informationen zu dem Thema „Hitze“. Lesen Sie jetzt „Wen die Hitze in die Notaufnahme bringt“.,https://img.zeit.de/news/2025-07/02/wen-die-hitze-in-die-notaufnahme-bringt-image-group/wide__1300x731,2025-07-02T09:42:45Z,,"Temperaturen an die 40 Grad sind ein gesundheitliches Risiko - und zwar nicht nur für ältere Menschen, die nicht genügend trinken. In der Zentralen Notaufnahme des Frankfurter Universitätsklinikums g… [+1123 chars]",,de,'Hitze'
https://www.zeit.de/kultur/2025-07/buecher-klimakrise-empfehlungen-erfahrungen,https://www.zeit.de/kultur/2025-07/buecher-klimakrise-empfehlungen-erfahrungen,0,www.zeit.de,Literaturempfehlungen zur Hitze: Der heiße Scheiß,"39 Grad, tropische Nächte: Fünf ZEIT-Autorinnen und -Autoren über die Bücher, die uns erzählen, wie wir in Deutschland mit der Hitze leben können.",https://img.zeit.de/kultur/2025-07/buecher-klimakrise-empfehlungen-erfahrungen-2/wide__1300x731,2025-07-02T11:05:10Z,,"In Italien schmelzen längst die Straßen, und selbst in Deutschland, dem Land des Stoßlüftens, sprechen plötzlich alle über Klimaanlagen. Das Leben ändert sich. Hier sind fünf gute Geschichten über So… [+965 chars]",,de,'Hitze'
