index,url,valid,domain,title,description,image,published,archive,content,quote,language,keyword
https://www.zeit.de/news/2025-06/01/hitzehilfe-fuer-berliner-obdachlose-startet,https://www.zeit.de/news/2025-06/01/hitzehilfe-fuer-berliner-obdachlose-startet,0,www.zeit.de,Zum Sommerbeginn: Hitzehilfe für Berliner Obdachlose startet,Hier finden Sie Informationen zu dem Thema „Zum Sommerbeginn“. Lesen Sie jetzt „Hitzehilfe für Berliner Obdachlose startet“.,https://img.zeit.de/news/2025-06/01/hitzehilfe-fuer-berliner-obdachlose-startet-image-group/wide__1300x731,2025-06-01T02:00:53Z,,Mit dem meteorologischen Beginn des Sommers startet an diesem Sonntag auch die Hitzehilfe für obdachlose Menschen in Berlin. Sie können dann in speziellen Räumlichkeiten Schutz vor gleißender Sonne u… [+746 chars],,de,'Hitze'
https://www.ibiza-heute.de/editorial-von-dieter-abholte-wie-ich-es-sehe-17/,https://www.ibiza-heute.de/editorial-von-dieter-abholte-wie-ich-es-sehe-17/,0,www.ibiza-heute.de,Editorial von Dieter Abholte: Wie ich es sehe…,"Die neue Verordnung über Autos auf der Insel ist das Hauptthema des Editorial des Chefredakteurs von IbizaHEUTE. Sie tritt heute in Kraft. Liebe Leser, heute ist der 1. Juni und es ist heiß auf Ibiza und Formentera. Die Temperaturen erreichen tagsüber fast di…",https://www.ibiza-heute.de/wp-content/uploads/2022/01/Formentera_Verkehr_Autos_Faehre_Foto_Thomas_Abholte.jpg,2025-06-01T06:17:55Z,,"Die neue Verordnung über Autos auf der Insel ist das Hauptthema des Editorial des Chefredakteurs von IbizaHEUTE. Sie tritt heute in Kraft.
Liebe Leser,
Dieter Abholte
heute ist der 1. Juni und es … [+2635 chars]",,de,'Tropische Nächte'
https://www.zeit.de/news/2025-06/01/schauer-und-gewitter-im-freistaat-und-ein-wenig-sonne,https://www.zeit.de/news/2025-06/01/schauer-und-gewitter-im-freistaat-und-ein-wenig-sonne,0,www.zeit.de,Wettervorhersage: Schauer und Gewitter im Freistaat - und ein wenig Sonne,Hier finden Sie Informationen zu dem Thema „Wettervorhersage“. Lesen Sie jetzt „Schauer und Gewitter im Freistaat - und ein wenig Sonne“.,https://img.zeit.de/news/2025-06/01/schauer-und-gewitter-im-freistaat-und-ein-wenig-sonne-image-group/wide__1300x731,2025-06-01T09:26:24Z,https://web.archive.org/web/20250602084117/https://www.zeit.de/news/2025-06/01/schauer-und-gewitter-im-freistaat-und-ein-wenig-sonne,"Die Menschen in Bayern müssen sich in den kommenden Tagen auf ungemütlich nasses Wetter einstellen. Bereits am Sonntag ziehen ab dem Nachmittag von Westen aus Schauer und Gewitter auf, wie der Deutsc… [+829 chars]",,de,'Sonne'
https://www.zeit.de/news/2025-06/02/berlin-will-mehr-fuer-hitzeschutz-tun,https://www.zeit.de/news/2025-06/02/berlin-will-mehr-fuer-hitzeschutz-tun,0,www.zeit.de,Kühle Schutzräume: Berlin will mehr für Hitzeschutz tun,Hier finden Sie Informationen zu dem Thema „Kühle Schutzräume“. Lesen Sie jetzt „Berlin will mehr für Hitzeschutz tun“.,https://img.zeit.de/news/2025-06/02/berlin-will-mehr-fuer-hitzeschutz-tun-image-group/wide__1300x731,2025-06-02T13:37:05Z,,"Berlin will mehr für den Hitzeschutz tun. Ein seit längerem angekündigter Hitzeaktionsplan für ganz Berlin soll dieses Jahr im Senat eingebracht werden, sagte Gesundheitssenatorin Ina Czyborra bei ei… [+1370 chars]",,de,'Hitze'
https://www.zeit.de/news/2025-06/03/was-thueringer-kommunen-gegen-hitze-unternehmen,https://www.zeit.de/news/2025-06/03/was-thueringer-kommunen-gegen-hitze-unternehmen,0,www.zeit.de,Hitzeschutz: Was Thüringer Kommunen gegen Hitze unternehmen,Hier finden Sie Informationen zu dem Thema „Hitzeschutz“. Lesen Sie jetzt „Was Thüringer Kommunen gegen Hitze unternehmen“.,https://img.zeit.de/news/2025-06/03/was-thueringer-kommunen-gegen-hitze-unternehmen-image-group/wide__1300x731,2025-06-03T02:00:42Z,,"Die heißen Tage des Sommers stehen bevor. Thüringens Großstädte Erfurt, Gera und Jena wollen mit Hitzeaktionsplänen auf die Herausforderungen hoher Temperaturen vorbereitet sein. 
In Erfurt ist mit … [+2634 chars]",,de,'Hitze'
https://www.zeit.de/news/2025-06/03/hitzeaktionsplaene-so-weit-sind-sachsens-grossstaedte,https://www.zeit.de/news/2025-06/03/hitzeaktionsplaene-so-weit-sind-sachsens-grossstaedte,0,www.zeit.de,Gesundheit: Hitzeaktionspläne: So weit sind Sachsens Großstädte,Hier finden Sie Informationen zu dem Thema „Gesundheit“. Lesen Sie jetzt „Hitzeaktionspläne: So weit sind Sachsens Großstädte“.,https://img.zeit.de/news/2025-06/03/hitzeaktionsplaene-so-weit-sind-sachsens-grossstaedte-image-group/wide__1300x731,2025-06-03T02:00:43Z,,Die Sommer werden heißer besonders in Städten wird das immer mehr zum Problem. Mit Hitzeaktionsplänen sollen Kommunen deshalb Bevölkerung und Infrastruktur besser auf Hitzeperioden vorbereiten. So si… [+2534 chars],,de,'Hitze'
https://www.zeit.de/news/2025-06/03/erst-sonne-dann-gewitter-in-berlin-und-brandenburg,https://www.zeit.de/news/2025-06/03/erst-sonne-dann-gewitter-in-berlin-und-brandenburg,0,www.zeit.de,"Wetter: Erst Sonne, dann Gewitter in Berlin und Brandenburg","Hier finden Sie Informationen zu dem Thema „Wetter“. Lesen Sie jetzt „Erst Sonne, dann Gewitter in Berlin und Brandenburg“.",https://img.zeit.de/news/2025-06/03/erst-sonne-dann-gewitter-in-berlin-und-brandenburg-image-group/wide__1300x731,2025-06-03T04:31:50Z,,"Die Menschen in Berlin und Brandenburg erwartet heute ruhiges und trockenes Wetter. Wie der Deutsche Wetterdienst (DWD) mitteilte, bleibt es bei einem Mix aus Sonne und Wolken niederschlagsfrei. Die … [+720 chars]",,de,'Sonne'
https://www.zeit.de/news/2025-06/03/auf-sonne-folgen-schauer-und-gewitter,https://www.zeit.de/news/2025-06/03/auf-sonne-folgen-schauer-und-gewitter,0,www.zeit.de,Wettervorhersage: Auf Sonne folgen Schauer und Gewitter,Hier finden Sie Informationen zu dem Thema „Wettervorhersage“. Lesen Sie jetzt „Auf Sonne folgen Schauer und Gewitter“.,https://img.zeit.de/news/2025-06/03/auf-sonne-folgen-schauer-und-gewitter-image-group/wide__1300x731,2025-06-03T06:04:52Z,https://web.archive.org/web/20250604030707/https://www.zeit.de/news/2025-06/03/auf-sonne-folgen-schauer-und-gewitter,Hessen kann sich auf einen heiteren und sonnigen Vormittag freuen. Nach und nach ziehen der Vorhersage des Deutschen Wetterdiensts (DWD) zufolge dann Wolken auf und ab dem Nachmittag muss vor allem s… [+851 chars],,de,'Sonne'
https://www.zeit.de/news/2025-06/03/wie-koennen-staedte-hitze-trotzen-diese-machen-es-vor,https://www.zeit.de/news/2025-06/03/wie-koennen-staedte-hitze-trotzen-diese-machen-es-vor,0,www.zeit.de,Gesundheitsrisiko Hitze: Wie können Städte Hitze trotzen? Diese machen es vor,Hier finden Sie Informationen zu dem Thema „Gesundheitsrisiko Hitze“. Lesen Sie jetzt „Wie können Städte Hitze trotzen? Diese machen es vor“.,https://img.zeit.de/news/2025-06/03/wie-koennen-staedte-hitze-trotzen-diese-machen-es-vor-image-group/wide__1300x731,2025-06-03T07:39:38Z,,"Meteorologen halten einen Hitzesommer für wahrscheinlich. Die Zahl der extremen Hitzetage hat mit der Erderwärmung enorm zugenommen. Besonders für Ältere, Kranke oder Schwangere können sie gefährlich… [+5234 chars]",,de,'Hitze'
https://www.focus.de/panorama/welt/badegaeste-duerfen-nicht-mehr-von-3-meter-brett-springen-schuld-ist-din-norm_dfd52db6-4674-4ca3-a610-3f2e7a112b99.html,https://www.focus.de/panorama/welt/badegaeste-duerfen-nicht-mehr-von-3-meter-brett-springen-schuld-ist-din-norm_dfd52db6-4674-4ca3-a610-3f2e7a112b99.html,0,www.focus.de,Badegäste dürfen nicht mehr von 3-Meter-Brett springen – Schuld ist DIN-Norm,66 Jahre durften die Badegäste im Wiedenbrücker Freibad vom 3-Meter-Turm springen – doch nun soll Schluss damit sein. Der Grund ist eine kleinliche DIN-Norm.,https://quadro.burda-forward.de/ctf/4e21bf04-6547-4621-974e-b1b70055ba8d.22b42dcf-549a-442e-8a4e-f0df9aeab69d.jpeg?im=RegionOfInterestCrop%3D%281200%2C630%29%2CregionOfInterest%3D%28320%2C180%29&hash=a05760221c5433bafda0a33b76f7d7a9d4fdacff9144730a62228c8ec9d79661,2025-06-03T08:01:20Z,https://web.archive.org/web/20250603084531/https://www.focus.de/panorama/welt/badegaeste-duerfen-nicht-mehr-von-3-meter-brett-springen-schuld-ist-din-norm_dfd52db6-4674-4ca3-a610-3f2e7a112b99.html,Im Wiedenbrücker Freibad ist nach 66 Jahren der 3-Meter-Sprungturm zwangsweise gesperrt worden das Problem sind acht Zentimeter. Laut der DIN-13451-10-Norm ist das Becken nicht tief genug. Es müsste … [+1596 chars],,de,'Freibad'
